mode,source_patent,target_patent,rank,required_matches,matched_keywords,source_keyword_count,match_rate
OR,RU2532846C2,RU2318299C2,2.0,1,0,8,0.0
OR,RU2532531C2,RU2331989C2,90.0,1,1,9,0.1111
OR,RU2533860C1,RU2254539C1,6.0,1,1,7,0.1429
OR,RU2532539C2,RU2198230C2,14.0,1,1,6,0.1667
OR,RU147861U1,RU194260U1,,1,0,10,0.0
OR,RU2532727C2,RU2201189C2,69.0,1,0,6,0.0
OR,RU2532280C2,RU2127611C1,18.0,1,1,9,0.1111
OR,RU2532612C2,RU85383U1,30.0,1,0,9,0.0
OR,RU2532248C2,RU2233032C2,594.0,1,0,7,0.0
OR,RU2532651C2,RU2110792C1,17.0,1,1,8,0.125
OR,RU2532308C2,RU8938U1,,1,0,9,0.0
OR,RU2532513C1,RU2993U1,83.0,1,1,11,0.0909
OR,RU2532706C2,RU2338336C2,100.0,1,0,6,0.0
OR,RU2533963C1,RU2141800C1,4.0,1,0,8,0.0
OR,RU2532385C2,RU2322955C2,145.0,1,0,12,0.0
OR,RU2532616C2,RU2144U1,,1,0,9,0.0
OR,RU2532810C2,RU2134129C1,,1,0,6,0.0
OR,RU2532270C2,RU2023379C1,9.0,1,0,6,0.0
OR,RU147542U1,RU173291U1,2.0,1,1,7,0.1429
OR,RU2532804C2,RU2118499C1,7.0,1,0,6,0.0
OR,RU2532468C1,RU96467U1,4.0,1,5,8,0.625
OR,RU2532768C1,RU2241769C1,5.0,1,0,5,0.0
OR,RU2533712C1,RU25010U1,,1,0,8,0.0
OR,RU2533335C2,RU96115551A,,1,1,6,0.1667
OR,RU2533646C2,RU2246749C2,,1,0,6,0.0
OR,RU2533441C2,RU2225034C2,51.0,1,0,5,0.0
OR,RU2533451C2,RU2004131029A,21.0,1,0,5,0.0
OR,RU2533058C2,RU104732U1,11.0,1,0,10,0.0
OR,RU2533706C2,RU2243934C2,5.0,1,2,12,0.1667
OR,RU2533500C2,RU2282392C1,300.0,1,0,5,0.0
OR,RU2533829C2,RU2239919C2,18.0,1,1,8,0.125
OR,RU148023U1,RU167313U1,4.0,1,2,12,0.1667
OR,RU2015131957A,RU2646713C1,6.0,1,1,10,0.1
OR,RU2533445C2,RU2441268C2,,1,0,7,0.0
OR,RU2533812C1,RU2008124859A,,1,0,8,0.0
OR,RU2533193C2,RU2225076C2,80.0,1,0,6,0.0
OR,RU2522735C9,RU2034284C1,6.0,1,1,6,0.1667
OR,RU2533539C1,RU44829U1,19.0,1,0,6,0.0
OR,RU2533163C1,RU2226026C2,53.0,1,0,5,0.0
OR,RU2533695C2,RU2198471C2,762.0,1,0,6,0.0
OR,RU2533694C2,RU2025771C1,,1,0,8,0.0
OR,RU2533453C2,RU2189345C2,13.0,1,0,5,0.0
OR,RU2015128360A,RU2651232C1,2.0,1,4,10,0.4
OR,RU2533321C1,RU2253096C1,89.0,1,0,5,0.0
OR,RU2533446C2,RU2454240C1,3.0,1,2,5,0.4
OR,RU2533693C2,RU2232476C2,17.0,1,0,5,0.0
OR,RU2533039C1,RU2220629C1,2.0,1,4,8,0.5
OR,RU2533077C2,RU2231220C1,3.0,1,0,5,0.0
OR,RU2533150C2,RU2048496C1,10.0,1,0,5,0.0
OR,RU2533048C1,RU2008860C1,7.0,1,0,6,0.0
MSM_10,RU2532846C2,RU2318299C2,2.0,1,0,8,0.0
MSM_10,RU2532531C2,RU2331989C2,90.0,1,1,9,0.1111
MSM_10,RU2533860C1,RU2254539C1,6.0,1,1,7,0.1429
MSM_10,RU2532539C2,RU2198230C2,14.0,1,1,6,0.1667
MSM_10,RU147861U1,RU194260U1,,1,0,10,0.0
MSM_10,RU2532727C2,RU2201189C2,69.0,1,0,6,0.0
MSM_10,RU2532280C2,RU2127611C1,18.0,1,1,9,0.1111
MSM_10,RU2532612C2,RU85383U1,30.0,1,0,9,0.0
MSM_10,RU2532248C2,RU2233032C2,594.0,1,0,7,0.0
MSM_10,RU2532651C2,RU2110792C1,17.0,1,1,8,0.125
MSM_10,RU2532308C2,RU8938U1,,1,0,9,0.0
MSM_10,RU2532513C1,RU2993U1,83.0,2,1,11,0.0909
MSM_10,RU2532706C2,RU2338336C2,100.0,1,0,6,0.0
MSM_10,RU2533963C1,RU2141800C1,4.0,1,0,8,0.0
MSM_10,RU2532385C2,RU2322955C2,145.0,2,0,12,0.0
MSM_10,RU2532616C2,RU2144U1,,1,0,9,0.0
MSM_10,RU2532810C2,RU2134129C1,,1,0,6,0.0
MSM_10,RU2532270C2,RU2023379C1,9.0,1,0,6,0.0
MSM_10,RU147542U1,RU173291U1,2.0,1,1,7,0.1429
MSM_10,RU2532804C2,RU2118499C1,7.0,1,0,6,0.0
MSM_10,RU2532468C1,RU96467U1,4.0,1,5,8,0.625
MSM_10,RU2532768C1,RU2241769C1,5.0,1,0,5,0.0
MSM_10,RU2533712C1,RU25010U1,,1,0,8,0.0
MSM_10,RU2533335C2,RU96115551A,,1,1,6,0.1667
MSM_10,RU2533646C2,RU2246749C2,,1,0,6,0.0
MSM_10,RU2533441C2,RU2225034C2,51.0,1,0,5,0.0
MSM_10,RU2533451C2,RU2004131029A,21.0,1,0,5,0.0
MSM_10,RU2533058C2,RU104732U1,11.0,1,0,10,0.0
MSM_10,RU2533706C2,RU2243934C2,5.0,2,2,12,0.1667
MSM_10,RU2533500C2,RU2282392C1,300.0,1,0,5,0.0
MSM_10,RU2533829C2,RU2239919C2,18.0,1,1,8,0.125
MSM_10,RU148023U1,RU167313U1,4.0,2,2,12,0.1667
MSM_10,RU2015131957A,RU2646713C1,6.0,1,1,10,0.1
MSM_10,RU2533445C2,RU2441268C2,,1,0,7,0.0
MSM_10,RU2533812C1,RU2008124859A,,1,0,8,0.0
MSM_10,RU2533193C2,RU2225076C2,80.0,1,0,6,0.0
MSM_10,RU2522735C9,RU2034284C1,6.0,1,1,6,0.1667
MSM_10,RU2533539C1,RU44829U1,19.0,1,0,6,0.0
MSM_10,RU2533163C1,RU2226026C2,53.0,1,0,5,0.0
MSM_10,RU2533695C2,RU2198471C2,762.0,1,0,6,0.0
MSM_10,RU2533694C2,RU2025771C1,,1,0,8,0.0
MSM_10,RU2533453C2,RU2189345C2,13.0,1,0,5,0.0
MSM_10,RU2015128360A,RU2651232C1,2.0,1,4,10,0.4
MSM_10,RU2533321C1,RU2253096C1,89.0,1,0,5,0.0
MSM_10,RU2533446C2,RU2454240C1,3.0,1,2,5,0.4
MSM_10,RU2533693C2,RU2232476C2,17.0,1,0,5,0.0
MSM_10,RU2533039C1,RU2220629C1,2.0,1,4,8,0.5
MSM_10,RU2533077C2,RU2231220C1,3.0,1,0,5,0.0
MSM_10,RU2533150C2,RU2048496C1,10.0,1,0,5,0.0
MSM_10,RU2533048C1,RU2008860C1,7.0,1,0,6,0.0
MSM_20,RU2532846C2,RU2318299C2,2.0,2,0,8,0.0
MSM_20,RU2532531C2,RU2331989C2,90.0,2,1,9,0.1111
MSM_20,RU2533860C1,RU2254539C1,6.0,2,1,7,0.1429
MSM_20,RU2532539C2,RU2198230C2,14.0,2,1,6,0.1667
MSM_20,RU147861U1,RU194260U1,,2,0,10,0.0
MSM_20,RU2532727C2,RU2201189C2,69.0,2,0,6,0.0
MSM_20,RU2532280C2,RU2127611C1,18.0,2,1,9,0.1111
MSM_20,RU2532612C2,RU85383U1,30.0,2,0,9,0.0
MSM_20,RU2532248C2,RU2233032C2,594.0,2,0,7,0.0
MSM_20,RU2532651C2,RU2110792C1,17.0,2,1,8,0.125
MSM_20,RU2532308C2,RU8938U1,,2,0,9,0.0
MSM_20,RU2532513C1,RU2993U1,83.0,3,1,11,0.0909
MSM_20,RU2532706C2,RU2338336C2,100.0,2,0,6,0.0
MSM_20,RU2533963C1,RU2141800C1,4.0,2,0,8,0.0
MSM_20,RU2532385C2,RU2322955C2,145.0,3,0,12,0.0
MSM_20,RU2532616C2,RU2144U1,,2,0,9,0.0
MSM_20,RU2532810C2,RU2134129C1,,2,0,6,0.0
MSM_20,RU2532270C2,RU2023379C1,9.0,2,0,6,0.0
MSM_20,RU147542U1,RU173291U1,2.0,2,1,7,0.1429
MSM_20,RU2532804C2,RU2118499C1,7.0,2,0,6,0.0
MSM_20,RU2532468C1,RU96467U1,4.0,2,5,8,0.625
MSM_20,RU2532768C1,RU2241769C1,5.0,1,0,5,0.0
MSM_20,RU2533712C1,RU25010U1,,2,0,8,0.0
MSM_20,RU2533335C2,RU96115551A,,2,1,6,0.1667
MSM_20,RU2533646C2,RU2246749C2,,2,0,6,0.0
MSM_20,RU2533441C2,RU2225034C2,51.0,1,0,5,0.0
MSM_20,RU2533451C2,RU2004131029A,21.0,1,0,5,0.0
MSM_20,RU2533058C2,RU104732U1,11.0,2,0,10,0.0
MSM_20,RU2533706C2,RU2243934C2,5.0,3,2,12,0.1667
MSM_20,RU2533500C2,RU2282392C1,300.0,1,0,5,0.0
MSM_20,RU2533829C2,RU2239919C2,18.0,2,1,8,0.125
MSM_20,RU148023U1,RU167313U1,4.0,3,2,12,0.1667
MSM_20,RU2015131957A,RU2646713C1,6.0,2,1,10,0.1
MSM_20,RU2533445C2,RU2441268C2,,2,0,7,0.0
MSM_20,RU2533812C1,RU2008124859A,,2,0,8,0.0
MSM_20,RU2533193C2,RU2225076C2,80.0,2,0,6,0.0
MSM_20,RU2522735C9,RU2034284C1,6.0,2,1,6,0.1667
MSM_20,RU2533539C1,RU44829U1,19.0,2,0,6,0.0
MSM_20,RU2533163C1,RU2226026C2,53.0,1,0,5,0.0
MSM_20,RU2533695C2,RU2198471C2,762.0,2,0,6,0.0
MSM_20,RU2533694C2,RU2025771C1,,2,0,8,0.0
MSM_20,RU2533453C2,RU2189345C2,13.0,1,0,5,0.0
MSM_20,RU2015128360A,RU2651232C1,2.0,2,4,10,0.4
MSM_20,RU2533321C1,RU2253096C1,89.0,1,0,5,0.0
MSM_20,RU2533446C2,RU2454240C1,3.0,1,2,5,0.4
MSM_20,RU2533693C2,RU2232476C2,17.0,1,0,5,0.0
MSM_20,RU2533039C1,RU2220629C1,2.0,2,4,8,0.5
MSM_20,RU2533077C2,RU2231220C1,3.0,1,0,5,0.0
MSM_20,RU2533150C2,RU2048496C1,10.0,1,0,5,0.0
MSM_20,RU2533048C1,RU2008860C1,7.0,2,0,6,0.0
MSM_30,RU2532846C2,RU2318299C2,2.0,3,0,8,0.0
MSM_30,RU2532531C2,RU2331989C2,90.0,3,1,9,0.1111
MSM_30,RU2533860C1,RU2254539C1,6.0,3,1,7,0.1429
MSM_30,RU2532539C2,RU2198230C2,14.0,2,1,6,0.1667
MSM_30,RU147861U1,RU194260U1,,3,0,10,0.0
MSM_30,RU2532727C2,RU2201189C2,69.0,2,0,6,0.0
MSM_30,RU2532280C2,RU2127611C1,18.0,3,1,9,0.1111
MSM_30,RU2532612C2,RU85383U1,30.0,3,0,9,0.0
MSM_30,RU2532248C2,RU2233032C2,593.0,3,0,7,0.0
MSM_30,RU2532651C2,RU2110792C1,17.0,3,1,8,0.125
MSM_30,RU2532308C2,RU8938U1,,3,0,9,0.0
MSM_30,RU2532513C1,RU2993U1,83.0,4,1,11,0.0909
MSM_30,RU2532706C2,RU2338336C2,100.0,2,0,6,0.0
MSM_30,RU2533963C1,RU2141800C1,4.0,3,0,8,0.0
MSM_30,RU2532385C2,RU2322955C2,138.0,4,0,12,0.0
MSM_30,RU2532616C2,RU2144U1,,3,0,9,0.0
MSM_30,RU2532810C2,RU2134129C1,,2,0,6,0.0
MSM_30,RU2532270C2,RU2023379C1,9.0,2,0,6,0.0
MSM_30,RU147542U1,RU173291U1,2.0,3,1,7,0.1429
MSM_30,RU2532804C2,RU2118499C1,7.0,2,0,6,0.0
MSM_30,RU2532468C1,RU96467U1,4.0,3,5,8,0.625
MSM_30,RU2532768C1,RU2241769C1,5.0,2,0,5,0.0
MSM_30,RU2533712C1,RU25010U1,,3,0,8,0.0
MSM_30,RU2533335C2,RU96115551A,,2,1,6,0.1667
MSM_30,RU2533646C2,RU2246749C2,,2,0,6,0.0
MSM_30,RU2533441C2,RU2225034C2,51.0,2,0,5,0.0
MSM_30,RU2533451C2,RU2004131029A,21.0,2,0,5,0.0
MSM_30,RU2533058C2,RU104732U1,11.0,3,0,10,0.0
MSM_30,RU2533706C2,RU2243934C2,5.0,4,2,12,0.1667
MSM_30,RU2533500C2,RU2282392C1,298.0,2,0,5,0.0
MSM_30,RU2533829C2,RU2239919C2,18.0,3,1,8,0.125
MSM_30,RU148023U1,RU167313U1,4.0,4,2,12,0.1667
MSM_30,RU2015131957A,RU2646713C1,6.0,3,1,10,0.1
MSM_30,RU2533445C2,RU2441268C2,,3,0,7,0.0
MSM_30,RU2533812C1,RU2008124859A,,3,0,8,0.0
MSM_30,RU2533193C2,RU2225076C2,80.0,2,0,6,0.0
MSM_30,RU2522735C9,RU2034284C1,6.0,2,1,6,0.1667
MSM_30,RU2533539C1,RU44829U1,19.0,2,0,6,0.0
MSM_30,RU2533163C1,RU2226026C2,53.0,2,0,5,0.0
MSM_30,RU2533695C2,RU2198471C2,762.0,2,0,6,0.0
MSM_30,RU2533694C2,RU2025771C1,,3,0,8,0.0
MSM_30,RU2533453C2,RU2189345C2,13.0,2,0,5,0.0
MSM_30,RU2015128360A,RU2651232C1,2.0,3,4,10,0.4
MSM_30,RU2533321C1,RU2253096C1,89.0,2,0,5,0.0
MSM_30,RU2533446C2,RU2454240C1,3.0,2,2,5,0.4
MSM_30,RU2533693C2,RU2232476C2,17.0,2,0,5,0.0
MSM_30,RU2533039C1,RU2220629C1,2.0,3,4,8,0.5
MSM_30,RU2533077C2,RU2231220C1,3.0,2,0,5,0.0
MSM_30,RU2533150C2,RU2048496C1,10.0,2,0,5,0.0
MSM_30,RU2533048C1,RU2008860C1,7.0,2,0,6,0.0
MSM_40,RU2532846C2,RU2318299C2,2.0,4,0,8,0.0
MSM_40,RU2532531C2,RU2331989C2,90.0,4,1,9,0.1111
MSM_40,RU2533860C1,RU2254539C1,6.0,3,1,7,0.1429
MSM_40,RU2532539C2,RU2198230C2,14.0,3,1,6,0.1667
MSM_40,RU147861U1,RU194260U1,,4,0,10,0.0
MSM_40,RU2532727C2,RU2201189C2,69.0,3,0,6,0.0
MSM_40,RU2532280C2,RU2127611C1,18.0,4,1,9,0.1111
MSM_40,RU2532612C2,RU85383U1,30.0,4,0,9,0.0
MSM_40,RU2532248C2,RU2233032C2,593.0,3,0,7,0.0
MSM_40,RU2532651C2,RU2110792C1,17.0,4,1,8,0.125
MSM_40,RU2532308C2,RU8938U1,,4,0,9,0.0
MSM_40,RU2532513C1,RU2993U1,83.0,5,1,11,0.0909
MSM_40,RU2532706C2,RU2338336C2,100.0,3,0,6,0.0
MSM_40,RU2533963C1,RU2141800C1,4.0,4,0,8,0.0
MSM_40,RU2532385C2,RU2322955C2,,5,0,12,0.0
MSM_40,RU2532616C2,RU2144U1,,4,0,9,0.0
MSM_40,RU2532810C2,RU2134129C1,,3,0,6,0.0
MSM_40,RU2532270C2,RU2023379C1,9.0,3,0,6,0.0
MSM_40,RU147542U1,RU173291U1,2.0,3,1,7,0.1429
MSM_40,RU2532804C2,RU2118499C1,7.0,3,0,6,0.0
MSM_40,RU2532468C1,RU96467U1,4.0,4,5,8,0.625
MSM_40,RU2532768C1,RU2241769C1,5.0,2,0,5,0.0
MSM_40,RU2533712C1,RU25010U1,,4,0,8,0.0
MSM_40,RU2533335C2,RU96115551A,,3,1,6,0.1667
MSM_40,RU2533646C2,RU2246749C2,,3,0,6,0.0
MSM_40,RU2533441C2,RU2225034C2,51.0,2,0,5,0.0
MSM_40,RU2533451C2,RU2004131029A,21.0,2,0,5,0.0
MSM_40,RU2533058C2,RU104732U1,11.0,4,0,10,0.0
MSM_40,RU2533706C2,RU2243934C2,5.0,5,2,12,0.1667
MSM_40,RU2533500C2,RU2282392C1,298.0,2,0,5,0.0
MSM_40,RU2533829C2,RU2239919C2,,4,1,8,0.125
MSM_40,RU148023U1,RU167313U1,4.0,5,2,12,0.1667
MSM_40,RU2015131957A,RU2646713C1,6.0,4,1,10,0.1
MSM_40,RU2533445C2,RU2441268C2,,3,0,7,0.0
MSM_40,RU2533812C1,RU2008124859A,,4,0,8,0.0
MSM_40,RU2533193C2,RU2225076C2,80.0,3,0,6,0.0
MSM_40,RU2522735C9,RU2034284C1,6.0,3,1,6,0.1667
MSM_40,RU2533539C1,RU44829U1,19.0,3,0,6,0.0
MSM_40,RU2533163C1,RU2226026C2,53.0,2,0,5,0.0
MSM_40,RU2533695C2,RU2198471C2,761.0,3,0,6,0.0
MSM_40,RU2533694C2,RU2025771C1,,4,0,8,0.0
MSM_40,RU2533453C2,RU2189345C2,13.0,2,0,5,0.0
MSM_40,RU2015128360A,RU2651232C1,2.0,4,4,10,0.4
MSM_40,RU2533321C1,RU2253096C1,89.0,2,0,5,0.0
MSM_40,RU2533446C2,RU2454240C1,3.0,2,2,5,0.4
MSM_40,RU2533693C2,RU2232476C2,17.0,2,0,5,0.0
MSM_40,RU2533039C1,RU2220629C1,2.0,4,4,8,0.5
MSM_40,RU2533077C2,RU2231220C1,3.0,2,0,5,0.0
MSM_40,RU2533150C2,RU2048496C1,10.0,2,0,5,0.0
MSM_40,RU2533048C1,RU2008860C1,7.0,3,0,6,0.0
MSM_50,RU2532846C2,RU2318299C2,2.0,4,0,8,0.0
MSM_50,RU2532531C2,RU2331989C2,90.0,5,1,9,0.1111
MSM_50,RU2533860C1,RU2254539C1,6.0,4,1,7,0.1429
MSM_50,RU2532539C2,RU2198230C2,14.0,3,1,6,0.1667
MSM_50,RU147861U1,RU194260U1,,5,0,10,0.0
MSM_50,RU2532727C2,RU2201189C2,69.0,3,0,6,0.0
MSM_50,RU2532280C2,RU2127611C1,18.0,5,1,9,0.1111
